site_id,year,date,lon,lat,latin,presence
finsync_nrs_nc-10062,2013,7/18/2013,-80.7245,35.39708,Gambusia holbrooki,1
finsync_nrs_nc-10062,2013,7/18/2013,-80.7245,35.39708,Lepomis auritus,1
finsync_nrs_nc-10062,2013,7/18/2013,-80.7245,35.39708,Lepomis cyanellus,1
finsync_nrs_nc-10062,2013,7/18/2013,-80.7245,35.39708,Lepomis macrochirus,1
finsync_nrs_nc-10062,2013,7/18/2013,-80.7245,35.39708,Micropterus salmoides,1
finsync_nrs_nc-10062,2013,7/18/2013,-80.7245,35.39708,Moxostoma collapsum,1
finsync_nrs_nc-10062,2013,7/18/2013,-80.7245,35.39708,Nocomis leptocephalus,1
finsync_nrs_nc-10062,2013,7/18/2013,-80.7245,35.39708,Notropis hudsonius,1
finsync_nrs_nc-10062,2013,7/18/2013,-80.7245,35.39708,Noturus insignis,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Ameiurus brunneus,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Catostomus commersonii,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Clinostomus funduloides,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Etheostoma flabellare,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Hybopsis hypsinotus,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Lepomis auritus,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Lepomis macrochirus,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Micropterus punctulatus,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Micropterus salmoides,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Moxostoma rupiscartes,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Nocomis leptocephalus,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Notemigonus crysoleucas,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Notropis chiliticus,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Notropis chlorocephalus,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Notropis procne,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Notropis scepticus,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Noturus insignis,1
finsync_nrs_nc-10066,2013,7/22/2013,-81.40958,35.4757,Semotilus atromaculatus,1
finsync_nrs_nc-10084,2018,8/20/2018,-78.15344368,35.67727845,Aphredoderus sayanus,1
finsync_nrs_nc-10084,2018,8/20/2018,-78.15344368,35.67727845,Erimyzon oblongus,1
finsync_nrs_nc-10084,2018,8/20/2018,-78.15344368,35.67727845,Esox americanus,1
finsync_nrs_nc-10084,2018,8/20/2018,-78.15344368,35.67727845,Etheostoma olmstedi,1
finsync_nrs_nc-10084,2018,8/20/2018,-78.15344368,35.67727845,Gambusia holbrooki,1
finsync_nrs_nc-10084,2018,8/20/2018,-78.15344368,35.67727845,Lepomis cyanellus,1
finsync_nrs_nc-10084,2018,8/20/2018,-78.15344368,35.67727845,Lepomis gulosus,1
finsync_nrs_nc-10084,2018,8/20/2018,-78.15344368,35.67727845,Lepomis macrochirus,1
finsync_nrs_nc-10084,2018,8/20/2018,-78.15344368,35.67727845,Micropterus salmoides,1
finsync_nrs_nc-10084,2018,8/20/2018,-78.15344368,35.67727845,Notemigonus crysoleucas,1
finsync_nrs_nc-10088,2009,7/10/2009,-80.60443444,35.15303501,Clinostomus funduloides,1
finsync_nrs_nc-10088,2009,7/10/2009,-80.60443444,35.15303501,Erimyzon oblongus,1
finsync_nrs_nc-10088,2009,7/10/2009,-80.60443444,35.15303501,Etheostoma collis,1
finsync_nrs_nc-10088,2009,7/10/2009,-80.60443444,35.15303501,Lepomis auritus,1
finsync_nrs_nc-10088,2009,7/10/2009,-80.60443444,35.15303501,Semotilus atromaculatus,1
finsync_nrs_nc-10090,2013,9/23/2013,-78.82338,34.53497,Acantharchus pomotis,1
finsync_nrs_nc-10090,2013,9/23/2013,-78.82338,34.53497,Ameiurus nebulosus,1
finsync_nrs_nc-10090,2013,9/23/2013,-78.82338,34.53497,Aphredoderus sayanus,1
finsync_nrs_nc-10090,2013,9/23/2013,-78.82338,34.53497,Esox americanus,1
finsync_nrs_nc-10090,2013,9/23/2013,-78.82338,34.53497,Gambusia holbrooki,1
finsync_nrs_nc-10090,2013,9/23/2013,-78.82338,34.53497,Lepisosteus osseus,1
finsync_nrs_nc-10090,2013,9/23/2013,-78.82338,34.53497,Lepomis punctatus,1
finsync_nrs_nc-10091,2019,6/11/2019,-82.07960048,35.87880495,Clinostomus funduloides,1
finsync_nrs_nc-10091,2019,6/11/2019,-82.07960048,35.87880495,Cottus bairdii,1
finsync_nrs_nc-10091,2019,6/11/2019,-82.07960048,35.87880495,Nocomis leptocephalus,1
finsync_nrs_nc-10091,2019,6/11/2019,-82.07960048,35.87880495,Oncorhynchus mykiss,1
finsync_nrs_nc-10091,2019,6/11/2019,-82.07960048,35.87880495,Rhinichthys obtusus,1
finsync_nrs_nc-10091,2019,6/11/2019,-82.07960048,35.87880495,Semotilus atromaculatus,1
finsync_nrs_nc-10094,2009,7/11/2009,-80.34289834,35.97524365,Gambusia affinis,1
finsync_nrs_nc-10094,2009,7/11/2009,-80.34289834,35.97524365,Hybognathus regius,1
finsync_nrs_nc-10094,2009,7/11/2009,-80.34289834,35.97524365,Lepomis macrochirus,1
finsync_nrs_nc-10094,2009,7/11/2009,-80.34289834,35.97524365,Micropterus salmoides,1
finsync_nrs_nc-10094,2009,7/11/2009,-80.34289834,35.97524365,Semotilus atromaculatus,1
finsync_nrs_nc-10096,2009,6/25/2009,-82.65973335,35.83760486,Campostoma anomalum,1
finsync_nrs_nc-10096,2009,6/25/2009,-82.65973335,35.83760486,Catostomus commersonii,1
finsync_nrs_nc-10096,2009,6/25/2009,-82.65973335,35.83760486,Rhinichthys atratulus,1
finsync_nrs_nc-10104,2009,7/14/2009,-80.82677006,35.52101673,Clinostomus funduloides,1
finsync_nrs_nc-10104,2009,7/14/2009,-80.82677006,35.52101673,Etheostoma olmstedi,1
finsync_nrs_nc-10104,2009,7/14/2009,-80.82677006,35.52101673,Lepomis auritus,1
finsync_nrs_nc-10104,2009,7/14/2009,-80.82677006,35.52101673,Lepomis cyanellus,1
finsync_nrs_nc-10104,2009,7/14/2009,-80.82677006,35.52101673,Micropterus salmoides,1
finsync_nrs_nc-10104,2009,7/14/2009,-80.82677006,35.52101673,Semotilus atromaculatus,1
finsync_nrs_nc-10107,2009,7/17/2009,-78.14354525,36.22364287,Anguilla rostrata,1
finsync_nrs_nc-10107,2009,7/17/2009,-78.14354525,36.22364287,Aphredoderus sayanus,1
finsync_nrs_nc-10107,2009,7/17/2009,-78.14354525,36.22364287,Catostomus commersonii,1
finsync_nrs_nc-10107,2009,7/17/2009,-78.14354525,36.22364287,Erimyzon oblongus,1
finsync_nrs_nc-10107,2009,7/17/2009,-78.14354525,36.22364287,Esox americanus,1
finsync_nrs_nc-10107,2009,7/17/2009,-78.14354525,36.22364287,Etheostoma nigrum,1
finsync_nrs_nc-10107,2009,7/17/2009,-78.14354525,36.22364287,Lepomis auritus,1
finsync_nrs_nc-10107,2009,7/17/2009,-78.14354525,36.22364287,Lepomis cyanellus,1
finsync_nrs_nc-10107,2009,7/17/2009,-78.14354525,36.22364287,Lepomis macrochirus,1
finsync_nrs_nc-10107,2009,7/17/2009,-78.14354525,36.22364287,Luxilus albeolus,1
